,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
693,64,11,85,0,1
694,103,14,79,0,1
695,103,6,28,0,2
696,68,7,31,0,7
697,93,30,70,0,6
698,89,32,59,0,2
699,103,20,41,0,1
700,90,20,93,0,2
701,63,5,99,0,2
702,66,16,35,4,1
703,61,24,35,0,1
704,118,27,86,0,2
705,118,32,9,0,8
706,101,10,22,0,2
707,79,18,56,0,1
708,106,1,49,0,1
709,103,28,43,0,1
710,70,18,57,0,4
711,65,9,31,0,2
712,113,5,63,0,1
713,142,5,87,0,1
714,137,25,45,0,1
715,107,16,3,1,2
716,74,8,43,0,1
717,61,6,30,0,1
718,128,11,54,2,9
719,136,3,32,0,1
720,139,18,14,0,1
721,71,29,21,0,1
722,108,0,48,0,6
723,71,13,3,0,2
724,73,17,37,0,2
725,61,33,61,0,1
726,61,34,11,2,3
727,114,24,63,4,6
728,67,7,19,0,2
729,97,4,46,0,3
730,131,2,54,0,6
731,99,2,21,0,2
732,110,7,16,0,7
733,82,4,77,1,3
734,66,0,4,0,2
735,88,25,5,0,8
736,114,24,10,3,9
737,110,0,25,0,3
738,81,7,35,0,2
739,66,0,10,0,9
740,64,5,78,1,2
741,130,0,93,0,1
742,71,33,83,0,3
743,100,13,51,0,3
744,72,27,7,0,1
745,96,25,17,0,2
746,63,23,94,0,2
747,73,12,71,0,4
748,69,2,70,1,1
749,112,19,12,4,2
750,92,31,63,0,2
751,114,30,1,0,2
752,115,22,73,0,2
753,71,29,70,0,1
754,89,15,45,0,5
755,271,20,40,0,1
756,73,4,7,0,3
757,206,14,44,0,3
758,66,8,3,0,3
759,87,16,41,1,2
760,196,30,81,0,1
761,104,1,48,3,7
762,99,8,89,1,3
763,63,0,75,0,1
764,88,13,81,1,2
765,66,20,31,0,6
766,132,18,49,0,2
767,102,16,1,0,2
768,65,7,28,0,1
769,65,14,62,0,2
770,82,33,39,0,2
771,103,14,79,0,1
772,61,24,95,2,3
773,114,23,6,0,1
774,118,6,50,0,2
775,193,6,79,0,1
776,65,15,58,0,1
777,133,4,62,2,1
778,89,31,10,0,2
779,95,28,61,3,2
780,109,1,6,1,1
781,119,0,37,0,1
782,107,3,65,0,3
783,105,3,92,0,1
784,135,8,14,0,1
785,71,10,79,1,2
786,71,1,23,0,2
787,85,21,32,0,2
788,64,31,53,0,1
789,74,22,94,3,2
790,72,4,61,0,1
791,62,13,76,0,1
792,154,33,24,0,1
793,70,19,30,0,2
794,63,7,30,2,2
795,61,2,92,0,1
796,67,16,90,0,1
797,70,26,7,0,2
798,70,24,10,0,1
799,65,13,1,0,3
800,68,19,2,3,2
801,74,3,73,0,1
802,108,3,44,0,3
803,62,14,88,0,2
804,112,5,86,0,1
805,61,7,38,0,1
806,65,6,45,0,2
807,80,3,11,0,1
808,101,18,39,0,2
809,63,11,2,0,1
810,182,3,56,0,2
811,109,10,38,0,9
812,83,13,19,1,1
813,67,4,25,0,9
814,97,15,30,4,1
815,115,7,64,0,2
816,72,3,56,0,3
817,189,26,33,3,1
818,105,5,42,0,5
819,160,0,92,0,3
820,99,22,89,0,2
821,86,10,36,0,3
822,80,9,69,0,7
823,84,18,25,1,4
824,71,10,25,0,2
825,72,8,67,0,1
826,114,20,87,0,1
827,107,28,10,2,9
828,62,8,81,2,6
829,71,5,20,0,5
830,112,8,51,0,4
831,68,27,69,0,4
832,295,14,46,0,2
833,67,3,76,0,1
834,102,29,72,2,2
835,72,9,71,0,3
836,111,7,14,0,2
837,67,1,33,0,1
838,92,9,18,0,1
839,78,27,86,0,2
840,210,7,24,2,1
841,107,13,34,0,7
842,62,26,18,0,1
843,71,24,36,0,2
844,61,7,38,0,1
845,69,27,48,0,9
846,66,1,38,0,1
847,69,14,33,0,1
848,69,29,58,1,1
849,64,25,49,0,2
850,139,28,87,1,4
851,134,24,86,3,5
852,123,22,66,0,1
853,101,24,11,0,1
854,88,25,43,0,1
855,65,12,62,0,1
856,131,20,59,0,2
857,92,11,64,1,3
858,61,30,35,0,3
859,116,8,23,0,8
860,139,5,56,0,2
861,71,21,63,0,6
862,96,3,79,0,2
863,71,3,32,0,1
864,106,5,70,1,9
865,64,23,19,0,2
866,83,25,13,0,1
867,131,31,4,1,1
868,78,11,28,1,2
869,101,1,83,4,1
870,63,15,67,0,1
871,182,33,54,1,1
872,116,5,62,0,1
873,68,33,46,4,1
874,73,12,18,0,2
875,79,7,72,0,2
876,62,17,34,0,1
877,119,18,63,0,1
878,73,14,74,0,8
879,69,27,73,0,6
880,92,8,86,0,1
881,64,0,61,0,4
882,99,8,31,0,2
883,62,9,21,0,5
884,66,21,58,0,1
885,131,14,25,3,1
886,67,23,76,2,1
887,87,9,77,1,2
888,239,0,72,2,1
889,118,10,50,0,7
890,111,15,19,0,2
891,112,13,59,0,1
892,64,7,5,1,2
893,66,25,3,0,2
894,71,13,24,0,1
895,70,21,50,0,3
896,65,24,68,2,1
897,66,14,11,0,1
898,113,9,99,0,2
899,63,16,65,5,3
900,62,0,40,0,1
901,188,31,12,0,5
902,121,0,44,0,4
903,119,6,73,0,6
904,99,31,86,0,1
905,99,0,24,0,2
906,69,23,68,0,2
907,83,29,58,0,2
908,97,0,40,0,1
909,70,7,55,3,2
910,115,2,75,0,2
911,83,2,47,0,4
912,65,4,83,0,9
913,73,17,69,1,1
914,97,0,53,0,2
915,84,10,94,1,1
916,65,33,10,1,7
917,115,10,55,0,2
918,90,11,68,0,2
919,62,34,72,0,3
920,108,21,32,1,8
921,64,13,18,0,2
922,93,28,61,0,1
923,70,0,23,0,1
924,61,1,36,1,5
925,114,10,30,0,3
926,256,15,23,0,1
927,114,27,64,1,6
928,112,3,84,0,7
929,64,3,15,0,2
930,72,22,79,0,2
931,65,23,73,0,1
932,71,9,12,0,3
933,67,9,74,0,6
934,69,19,64,0,1
935,71,11,23,0,8
936,85,21,4,0,2
937,74,27,91,0,1
938,64,23,71,0,6
939,63,34,15,0,3
940,71,34,29,0,2
941,62,6,29,0,1
942,62,8,34,0,1
943,113,6,28,0,1
944,188,35,82,0,7
945,90,21,21,0,2
946,104,33,5,0,1
947,71,26,56,0,1
948,98,4,86,1,2
949,96,5,7,4,1
950,85,3,53,0,1
951,86,5,57,0,1
952,68,12,11,3,1
953,134,23,16,0,4
954,65,30,63,0,1
955,78,27,6,0,6
956,69,23,13,0,7
957,116,8,23,0,8
958,65,12,5,0,3
959,63,29,64,3,4
960,129,19,20,0,2
961,73,5,85,0,4
962,88,7,3,0,2
963,65,8,58,0,1
964,68,4,27,0,3
965,67,25,41,1,2
966,65,1,36,1,3
967,72,14,24,0,1
968,84,27,46,0,1
969,63,0,44,0,5
970,173,5,88,0,3
971,68,6,93,0,8
972,65,19,5,0,2
973,64,13,29,1,1
974,66,15,56,0,3
975,115,16,84,0,3
976,103,19,40,0,9
977,153,25,5,0,1
978,196,7,4,0,9
979,86,8,28,0,3
980,125,21,34,0,1
981,135,32,61,0,8
982,70,29,29,0,2
983,61,3,12,1,1
984,67,29,39,0,2
985,73,17,44,0,7
986,100,5,54,0,7
987,77,17,88,0,8
988,65,4,81,0,1
989,119,31,3,0,1
990,71,0,8,0,1
991,101,21,35,0,2
992,106,19,74,0,2
993,73,19,98,0,2
994,104,13,71,0,2
995,71,25,29,0,3
996,107,28,23,1,1
997,68,14,98,0,1
998,70,18,99,0,2
999,103,20,46,0,1
1000,72,16,31,0,9
1001,104,31,71,0,3
1002,125,4,71,1,2
1003,68,15,47,0,6
1004,92,20,19,0,2
1005,92,8,28,0,3
1006,81,25,64,0,1
1007,71,6,95,0,3
1008,192,13,37,0,2
1009,114,17,87,1,2
1010,93,30,66,0,5
1011,285,5,51,0,1
1012,63,11,73,0,2
1013,83,3,44,0,7
1014,90,8,87,0,2
1015,94,14,38,1,1
1016,119,21,86,0,2
1017,63,22,12,0,7
1018,85,3,72,0,1
1019,99,25,41,1,1
1020,110,26,83,0,1
1021,73,5,72,0,7
1022,92,34,34,0,1
1023,71,7,24,0,2
1024,148,8,18,0,2
1025,65,25,10,0,2
1026,112,16,62,0,1
1027,70,13,37,0,5
1028,63,6,64,0,1
1029,68,1,31,0,5
1030,94,2,96,1,6
1031,65,1,36,1,3
1032,124,11,57,0,2
1033,72,7,34,2,7
1034,114,31,8,0,1
1035,89,26,52,0,8
1036,118,10,98,0,2
1037,69,1,41,0,2
1038,80,30,8,0,1
1039,98,8,73,0,1
1040,72,17,55,0,2
1041,112,17,49,0,2
1042,109,12,76,2,1
1043,64,24,93,0,1
1044,69,23,15,0,1
1045,107,16,76,0,8
1046,197,5,50,0,9
1047,64,0,86,0,2
1048,69,2,71,0,1
1049,66,26,10,0,6
1050,66,18,81,0,1
1051,107,0,92,0,6
1052,111,33,10,0,3
1053,63,7,63,1,1
1054,110,1,72,0,3
1055,73,24,40,2,9
1056,63,11,2,0,1
1057,66,23,5,0,7
1058,199,6,37,0,1
1059,117,2,83,0,2
1060,118,13,14,0,7
1061,92,15,36,0,2
1062,109,5,34,0,1
1063,63,16,67,0,5
1064,116,11,15,0,1
1065,73,30,78,1,1
1066,78,28,0,1,1
1067,102,20,28,2,2
1068,88,26,23,0,1
1069,114,20,87,0,1
1070,112,10,21,0,9
1071,214,8,89,1,2
1072,94,3,38,0,1
1073,96,20,55,0,6
1074,171,6,12,0,1
1075,63,19,9,0,1
1076,71,1,45,0,1
1077,65,30,22,0,6
1078,198,9,54,1,2
1079,67,4,14,0,2
1080,65,13,7,0,1
1081,61,29,51,0,1
1082,73,17,64,0,3
1083,65,14,7,0,5
1084,108,5,43,0,2
1085,61,21,28,0,7
1086,105,0,93,0,1
1087,68,31,30,1,3
1088,79,12,24,1,4
1089,103,2,32,0,4
1090,83,23,89,0,2
1091,69,32,11,0,1
1092,138,1,27,0,4
1093,88,25,43,0,1
1094,72,3,65,0,1
1095,105,3,56,0,2
1096,96,18,87,3,1
1097,64,1,45,0,2
1098,109,35,75,0,1
1099,73,0,56,0,2
1100,109,15,61,0,7
1101,113,1,88,0,2
1102,118,14,64,0,4
1103,65,24,53,0,3
1104,63,14,79,1,3
1105,61,16,57,0,1
1106,108,4,88,0,1
1107,113,1,88,0,2
1108,104,30,1,0,4
1109,271,20,40,0,1
1110,96,8,41,0,8
1111,69,3,21,1,7
1112,118,31,9,0,1
1113,64,14,75,5,1
1114,111,34,32,0,1
1115,69,35,79,0,2
1116,72,20,12,0,6
1117,88,17,25,0,6
1118,127,6,53,1,1
1119,103,4,67,0,2
1120,100,0,8,0,2
1121,67,1,17,2,1
1122,74,18,58,0,2
1123,70,11,36,2,7
1124,67,20,38,0,8
1125,105,18,50,0,1
1126,85,4,3,1,3
1127,73,25,56,0,2
1128,114,15,40,0,2
1129,71,9,32,0,3
1130,79,25,10,0,2
1131,96,28,65,0,1
1132,94,20,56,0,2
1133,214,8,89,1,2
1134,107,34,70,1,1
1135,71,19,13,0,1
1136,91,35,98,0,5
1137,91,28,59,0,1
1138,71,12,43,0,1
1139,68,4,53,0,1
1140,100,4,55,0,2
1141,98,0,96,1,9
1142,81,19,91,0,2
1143,94,25,20,0,6
1144,61,2,15,0,2
1145,134,22,68,0,1
