customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,total_claim_amount,number_of_open_complaints,number_of_policies,response,coverage,education,effective_to_date,employmentstatus,location_code,vehicle_size,state_Arizona,state_California,state_Nevada,state_Oregon,state_Washington,marital_status_Divorced,marital_status_Married,marital_status_Single,policy_type_Corporate Auto,policy_type_Personal Auto,policy_type_Special Auto,policy_Corporate L1,policy_Corporate L2,policy_Corporate L3,policy_Personal L1,policy_Personal L2,policy_Personal L3,policy_Special L1,policy_Special L2,policy_Special L3,policy_type_Corporate Auto,policy_type_Personal Auto,policy_type_Special Auto,renew_offer_type_Offer1,renew_offer_type_Offer2,renew_offer_type_Offer3,renew_offer_type_Offer4,sales_channel_Agent,sales_channel_Branch,sales_channel_Call Center,sales_channel_Web,vehicle_class_Four-Door Car,vehicle_class_Luxury Car,vehicle_class_Luxury SUV,vehicle_class_SUV,vehicle_class_Sports Car,vehicle_class_Two-Door Car,day_of_week,month,gender_F,gender_M
8197.197078,0,110,27,87,528.0,0,3,0,0,1,2011-01-06,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,0
8798.797003,77026,110,9,82,472.029737,2,3,0,2,3,2011-02-06,4,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6,2,0,1
8819.018934,99845,110,23,25,528.0,1,8,1,0,0,2011-01-10,4,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
5384.431665,83689,70,21,10,307.139132,2,8,0,0,1,2011-01-18,4,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1
7463.139377,24599,64,12,50,42.920271,1,2,0,0,2,2011-01-17,4,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
2566.867823,25049,67,14,7,454.245098,0,1,0,0,0,2011-02-06,2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6,2,0,1
3945.241604,28855,101,12,59,647.442031,0,1,0,0,1,2011-01-05,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,1
5710.333115,51148,72,9,1,308.981664,0,7,0,0,1,2011-02-27,4,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,2,0,1
8162.617053,66140,101,11,21,484.8,0,3,0,2,0,2011-01-14,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,1,0
2872.051273,57749,74,31,21,355.2,0,1,0,0,0,2011-02-19,4,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0,1
3041.791561,13789,79,8,49,379.2,0,1,0,1,2,2011-01-21,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,1,1,0
2450.190996,0,73,4,44,554.376763,3,1,0,0,2,2011-02-24,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,1,0
2392.10789,17870,61,30,91,439.2,0,1,0,0,2,2011-02-05,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,2,1,0
5802.065978,97541,72,22,1,389.185006,0,3,0,0,1,2011-01-29,4,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,1
3946.372085,0,111,15,47,799.2,0,1,0,2,2,2011-02-28,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0
5346.916576,10511,139,33,64,516.237951,0,1,0,1,3,2011-02-12,1,2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,2,1,0
12902.56014,86584,111,33,54,532.8,2,2,0,2,1,2011-02-02,4,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,0
3235.360468,75690,80,17,44,384.0,1,1,0,1,3,2011-02-07,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0
2454.58354,23158,63,4,6,322.294043,1,1,0,0,1,2011-02-28,4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,1
4715.321344,0,65,19,56,308.15089,0,3,0,0,2,2011-01-25,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
5018.885233,54500,63,28,17,302.4,0,6,0,0,2,2011-01-18,4,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
4932.916345,37260,62,19,42,15.437681,0,8,0,0,2,2011-02-13,4,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6,2,1,0
5744.229745,68987,71,11,40,204.475147,0,6,0,0,0,2011-01-15,4,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,1,1,0
13891.73567,42305,117,10,62,561.6,0,2,0,2,2,2011-01-08,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,1
7380.976717,65706,91,19,86,436.8,0,8,0,1,3,2011-02-06,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,6,2,1,0
3090.034104,0,90,7,79,648.0,0,1,0,1,2,2011-01-25,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
2521.633095,53243,66,4,15,157.397849,2,1,0,0,0,2011-02-07,4,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1
2652.061785,0,70,7,1,484.318536,1,1,0,0,0,2011-01-18,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
2771.045031,50071,71,3,32,18.918935,0,1,1,0,1,2011-01-11,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
3939.00637,60021,99,12,28,882.871945,0,1,1,1,2,2011-01-28,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,1,1,0
12231.87968,43244,103,15,16,494.4,0,2,0,0,0,2011-02-08,4,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,1
2443.665166,92834,61,15,56,292.8,0,1,0,0,1,2011-02-23,4,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,1
12819.10289,10105,172,5,4,0.517753,3,3,0,2,4,2011-01-25,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
4468.510542,0,73,7,57,579.165954,3,5,0,0,2,2011-01-31,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
5514.344018,23218,71,7,10,447.79344,0,4,0,0,0,2011-01-02,4,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,1,1,0
3343.875326,0,92,11,77,529.624084,0,1,0,1,2,2011-02-07,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0
2294.478927,0,62,11,56,313.023175,0,1,0,0,0,2011-01-18,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0
7983.431709,36014,69,4,40,173.956072,3,2,0,0,0,2011-02-21,4,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0
4854.745666,29834,64,19,44,307.2,0,3,0,0,2,2011-02-16,4,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,2,0,1
4293.997319,16701,113,20,26,831.625979,0,1,0,2,2,2011-01-17,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
7164.395543,46623,91,1,53,436.8,0,3,0,1,1,2011-02-05,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5,2,1,0
7619.5158,64749,64,24,59,302.56519,0,2,0,0,1,2011-02-13,4,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,2,0,1
3958.002823,0,101,29,12,484.8,0,1,0,0,0,2011-02-23,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,0
4499.493252,16969,124,34,47,704.768111,2,1,0,1,0,2011-01-28,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,1,0
4059.567414,11621,108,4,98,518.4,0,1,0,2,3,2011-02-28,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0
4458.113369,17622,65,1,36,312.0,1,3,1,0,2,2011-01-02,3,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,1,0,1
8110.333139,11489,105,4,50,504.0,0,6,0,2,2,2011-01-22,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,1,0
3339.764873,0,94,20,53,863.327324,0,1,0,1,2,2011-01-15,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,0,1
6613.973653,0,63,21,28,676.391482,0,2,0,0,2,2011-01-23,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,1,1,0
2930.693543,33663,73,29,71,350.4,0,1,0,0,1,2011-01-31,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
8672.194272,22547,112,7,60,537.6,0,3,0,0,1,2011-01-26,4,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0
11638.66926,61486,97,5,65,465.258644,0,2,0,1,0,2011-01-10,4,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
6846.150323,0,95,13,20,456.0,0,5,1,1,2,2011-01-27,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,0
11727.77648,29879,102,17,0,500.254235,0,2,0,2,1,2011-01-09,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6,1,1,0
2614.474305,65186,65,29,27,5.434505,0,1,0,0,3,2011-02-11,4,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,0,1
2451.752695,26840,64,1,47,307.2,2,1,0,0,3,2011-02-12,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,2,0,1
6781.270203,0,104,30,3,982.399613,1,5,0,0,2,2011-02-04,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,0,1
4974.801539,75644,65,5,68,467.803638,3,9,1,0,2,2011-01-18,4,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
8591.604933,38984,73,27,38,350.4,0,2,0,0,2,2011-02-11,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4,2,0,1
5592.161392,71811,71,17,48,29.03416,0,6,0,0,0,2011-02-01,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0
8009.472833,20961,67,20,33,321.6,0,2,0,0,1,2011-02-15,4,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1
11318.08982,38923,99,6,83,115.728852,2,2,0,1,1,2011-02-06,4,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,2,0,1
8025.229358,0,77,20,26,25.807685,0,2,0,1,1,2011-01-26,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0
5780.182197,51066,74,23,0,787.993313,0,8,1,0,0,2011-02-26,4,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5,2,0,1
4118.539113,34378,102,12,54,489.6,0,1,0,0,4,2011-01-27,4,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1,0,1
2523.07015,43072,63,35,15,302.4,0,1,0,0,3,2011-01-16,4,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,1
6554.216396,25222,90,28,69,475.623251,0,3,0,1,1,2011-01-27,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,1,0
7703.397294,36765,66,15,32,320.849072,1,2,0,0,0,2011-02-28,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1
5926.729379,23091,96,28,90,460.8,5,5,1,1,1,2011-01-25,3,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1
2683.470677,48269,69,3,79,282.151207,3,1,0,0,2,2011-01-01,4,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5,1,1,0
2695.182419,32720,67,13,12,321.6,0,1,0,0,2,2011-02-01,4,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0
6047.02516,20396,76,15,60,364.8,1,4,1,1,1,2011-02-19,4,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,2,0,1
13171.01282,21513,119,21,81,679.827592,1,2,0,2,1,2011-01-27,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,1
10656.88195,72540,88,7,3,631.743039,0,2,1,1,2,2011-02-27,4,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6,2,1,0
2527.653796,80744,63,24,84,11.879037,0,1,0,0,2,2011-01-17,4,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
2672.095756,52822,67,23,88,350.529033,0,1,0,0,2,2011-02-10,4,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,1
5313.294035,0,77,8,10,863.3947,1,9,0,1,0,2011-01-24,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
8375.353929,17780,109,12,18,132.588288,0,9,0,0,3,2011-02-15,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0
4801.661503,18107,62,29,11,297.6,0,8,0,0,2,2011-02-16,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,1
5745.94334,57740,74,30,87,269.905129,3,9,0,0,2,2011-01-22,4,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5,1,1,0
6066.115969,32627,76,11,60,380.036697,0,7,0,1,1,2011-02-25,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,0,1
8002.308333,0,107,3,65,513.6,0,3,1,0,1,2011-01-11,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
2393.915369,0,70,24,10,425.266308,0,1,1,0,1,2011-01-31,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
4762.8179,65795,62,2,85,49.011099,1,3,0,0,2,2011-01-12,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1
4330.38602,60475,107,9,18,513.6,0,1,1,2,1,2011-02-16,4,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1
9402.729769,0,130,28,88,936.0,0,4,0,1,0,2011-02-09,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,1,0
6966.694527,41837,88,29,93,142.062768,0,9,0,1,2,2011-01-19,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0
7694.064293,32303,65,13,34,45.152521,0,2,0,0,2,2011-01-04,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
8717.561149,0,117,5,89,561.6,1,3,0,0,0,2011-01-09,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,1
5928.748528,40531,74,17,32,30.567357,0,9,0,0,2,2011-01-27,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,1,0
2452.977288,79898,62,5,86,271.606799,1,1,0,0,1,2011-02-14,4,2,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1
6701.571657,56398,85,4,18,408.0,0,7,0,1,1,2011-02-27,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,6,2,0,1
7556.24034,35257,98,16,2,470.4,1,8,0,1,0,2011-02-12,4,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,5,2,0,1
8492.6988,27804,109,19,54,784.8,0,7,0,0,1,2011-02-26,4,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5,2,0,1
