,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
181,39411,217,4,29,2,4,1122
182,21709,62,28,17,0,3,408
183,67890,85,23,57,0,2,408
184,37657,110,3,16,0,1,792
185,84311,111,11,98,4,2,532
186,99316,114,26,53,0,1,754
187,54507,138,20,11,0,1,702
188,64586,76,3,17,0,1,206
189,61709,82,5,41,2,7,275
190,94656,111,12,79,1,1,459
191,37657,69,5,40,0,1,496
192,61085,70,27,34,1,1,336
193,89284,67,7,31,3,2,321
194,37657,63,6,12,0,2,302
195,31686,81,11,33,0,1,430
196,56855,255,12,1,0,1,1836
197,53703,67,3,45,2,1,67
198,37657,96,12,35,1,2,844
199,20396,76,15,60,1,4,364
200,27679,150,30,28,0,3,722
201,23904,123,1,67,3,1,590
202,65351,69,4,54,0,1,481
203,37657,113,20,1,0,7,1124
204,37657,63,0,54,3,7,669
205,37657,116,14,35,0,2,1284
206,64459,72,16,64,0,1,240
207,32961,190,13,53,0,3,912
208,71416,116,10,0,0,3,556
209,68964,78,15,6,0,3,115
210,78108,98,12,34,0,1,470
211,10621,67,28,22,0,5,321
212,84910,95,4,69,0,2,383
213,77493,70,2,35,0,3,307
214,81097,74,7,67,0,1,355
215,96610,85,6,23,0,3,520
216,30110,159,20,71,0,1,466
217,22081,84,1,9,0,6,451
218,37657,112,12,93,0,3,537
219,98473,72,19,69,0,1,345
220,97431,74,1,72,0,3,355
221,93870,69,1,96,0,8,331
222,50366,72,9,5,0,9,428
223,34498,83,30,72,0,7,398
224,16552,103,23,53,0,2,494
225,26787,77,7,50,0,5,369
226,37657,74,2,42,0,9,831
227,43860,65,15,58,0,1,156
228,21474,114,13,72,2,9,373
229,18174,66,8,16,0,9,395
230,37657,73,18,45,0,5,350
231,60920,64,10,61,0,2,231
232,41520,90,18,70,0,2,289
233,37657,152,12,89,0,1,729
234,37657,68,19,16,0,8,326
235,72208,73,3,84,0,8,350
236,53863,63,12,30,0,2,105
237,66446,136,8,77,0,3,639
238,37657,61,18,26,0,1,292
239,64997,63,7,99,1,1,383
240,64460,66,18,42,0,3,316
241,46618,67,22,77,0,2,99
242,37657,64,13,64,0,4,307
243,49988,84,6,37,5,5,566
244,37657,91,2,8,5,1,436
245,16269,86,6,84,0,1,412
246,72006,64,4,38,0,3,307
247,37657,81,3,60,2,2,388
248,37657,245,34,83,0,1,2345
249,44320,67,13,79,0,2,321
250,19782,108,13,66,0,1,773
251,63933,70,35,98,0,2,424
252,28224,109,13,13,0,8,523
253,21073,106,25,54,1,3,508
254,63243,77,21,73,0,3,364
255,20993,133,35,90,0,1,638
256,94827,135,5,64,0,4,354
257,39161,63,18,83,1,4,283
258,37534,84,2,0,2,2,403
259,80210,65,30,28,0,1,20
260,37657,62,32,59,0,2,385
261,30110,64,2,4,0,5,140
262,21708,68,28,77,0,2,326
263,94731,67,23,65,0,4,321
264,32375,83,17,83,0,6,398
265,16531,63,0,40,0,4,102
266,32006,94,28,7,0,2,56
267,81676,72,21,86,0,8,463
268,71038,86,15,56,0,3,205
269,37657,103,20,43,0,1,741
270,20832,65,8,32,0,2,56
271,37657,113,19,10,0,7,813
272,52405,103,2,27,0,1,494
273,37657,133,3,89,0,1,795
274,26583,128,6,46,4,1,614
275,25486,65,15,53,0,3,72
276,24065,111,30,1,0,5,532
277,70435,116,0,50,0,4,67
278,37657,76,33,36,2,2,402
279,39679,92,2,85,0,1,641
280,37657,89,13,45,0,5,342
281,37657,69,21,70,4,3,331
282,53565,71,27,34,1,6,340
283,37574,66,19,14,1,1,412
284,48259,108,14,79,0,3,73
285,78532,78,25,87,0,3,374
286,96163,73,23,90,0,3,350
287,37657,72,0,86,0,7,345
288,37657,114,9,72,1,5,722
289,72672,63,7,39,0,5,259
290,99002,112,33,75,1,8,537
291,79494,91,19,30,0,3,396
292,35704,225,21,35,0,8,358
293,37657,71,6,5,0,3,653
294,26049,118,17,6,0,6,121
295,70125,64,21,77,0,1,92
296,52369,110,34,49,1,2,528
297,37657,66,25,51,2,1,159
298,41770,72,0,60,0,9,476
299,37657,101,16,88,0,8,727
300,31911,67,33,27,0,1,321
301,70051,68,15,69,0,8,42
302,19683,117,17,41,1,9,561
303,30916,112,7,65,0,2,200
304,37657,80,24,95,0,1,676
305,37657,118,14,64,0,4,566
306,37657,116,0,45,0,2,830
307,60145,132,8,28,0,3,580
308,63774,111,18,63,0,1,60
309,25134,67,3,0,0,6,321
310,37057,61,5,48,1,6,47
311,58577,110,6,62,0,1,303
312,85857,73,3,19,0,6,100
313,70602,116,8,47,0,3,481
314,33816,106,10,97,2,3,508
315,37657,153,7,75,0,2,1101
316,89642,121,11,20,4,1,86
317,60068,98,17,75,0,1,470
318,50044,139,16,14,0,1,667
319,36650,69,2,70,1,1,56
320,50653,110,29,42,0,1,262
321,68931,66,32,30,0,7,309
322,37657,73,14,39,1,1,350
323,37657,73,1,22,0,5,365
324,39266,80,33,31,0,2,384
325,37657,102,35,48,0,2,489
326,37657,98,24,11,1,2,705
327,40864,65,2,75,0,1,9
328,39035,68,15,65,0,1,244
329,34923,98,23,82,0,2,639
330,37657,63,1,56,0,1,453
331,37657,111,27,36,0,9,532
332,24506,71,7,47,0,1,511
333,37657,82,25,63,0,2,554
334,52220,70,17,42,1,5,336
335,37657,74,17,73,0,1,402
336,53554,67,6,5,0,2,327
337,34476,67,23,49,1,3,5
338,37657,70,1,11,0,5,131
339,68205,76,35,14,0,1,99
340,37657,119,6,48,1,8,856
341,53690,154,20,97,0,2,739
342,37657,72,2,22,0,5,518
343,37657,61,28,31,0,1,292
344,74454,71,25,29,0,3,340
345,37657,73,23,91,0,2,350
346,29664,71,1,69,0,3,340
347,15680,64,20,29,0,8,260
348,47272,79,17,17,3,2,64
349,21585,92,35,61,0,1,441
350,23827,106,18,77,2,3,37
351,69906,74,34,32,2,2,202
352,37657,72,7,77,0,1,345
353,89879,63,17,20,0,3,94
354,37657,69,9,89,0,1,331
355,46131,74,27,28,0,1,355
356,54514,109,5,36,3,1,286
357,37657,161,29,1,0,1,1159
358,96668,66,2,95,0,3,316
359,78879,69,9,67,1,4,466
360,37657,69,21,86,0,2,331
361,37657,76,8,44,0,3,364
362,37657,112,28,30,0,2,1252
363,29735,69,3,92,0,1,331
364,23082,65,18,90,0,7,312
365,53984,80,15,62,0,1,421
366,52135,156,6,86,0,9,430
367,17576,71,29,70,0,1,398
368,29486,62,19,73,0,1,7
369,58557,88,4,83,0,1,55
370,25632,63,27,52,0,7,351
371,37657,112,7,42,0,9,806
372,18768,68,19,53,3,3,647
373,33190,106,18,95,0,2,508
374,47945,74,32,39,0,3,128
375,58778,126,6,62,0,2,302
376,15192,100,1,7,0,1,480
377,51859,171,0,21,0,1,1003
378,23422,72,25,76,0,3,518
379,21604,79,14,28,0,1,379
380,79298,90,22,2,0,1,244
381,76731,64,2,68,0,1,201
382,67282,62,29,27,0,1,297
383,48534,115,29,79,1,2,552
384,77678,116,32,81,0,1,741
385,48412,104,15,23,0,2,707
386,33837,72,29,54,4,1,305
387,23712,85,2,20,0,3,376
388,28142,105,18,50,0,1,701
389,72196,68,8,61,0,2,152
390,68197,69,1,81,0,3,176
391,75248,63,13,71,0,5,104
392,37657,98,9,50,0,2,941
393,37657,65,5,19,1,1,468
394,41546,111,4,47,0,3,121
395,46998,96,13,98,0,6,460
396,57099,67,20,37,0,1,67
397,33897,114,15,67,0,8,539
398,59207,116,23,21,0,2,556
399,40171,73,8,78,0,1,350
400,67798,69,1,78,0,9,331
401,21665,136,0,25,0,1,765
402,37657,87,9,75,0,2,626
403,37657,67,12,67,5,7,321
404,34226,244,29,22,0,2,494
405,65989,123,4,43,1,2,115
406,30686,61,22,45,0,3,19
407,37657,113,15,6,0,2,799
408,20090,109,10,59,0,2,523
409,37657,183,6,16,0,2,878
410,77094,176,25,29,0,5,444
411,97413,73,21,80,0,6,268
412,79189,69,6,97,0,4,331
413,37657,62,5,31,0,1,297
414,18577,86,21,76,0,6,412
415,37657,112,7,34,1,1,806
416,40783,67,13,43,1,9,321
417,37657,74,34,51,0,4,532
418,17483,183,24,63,0,1,1317
419,84394,114,9,38,0,1,691
420,37657,127,3,93,0,3,804
421,41440,62,20,80,1,2,297
422,37657,136,14,69,1,8,1090
423,98132,71,10,61,0,3,50
424,37657,112,4,49,0,1,537
425,88220,230,28,63,0,2,151
426,58327,129,31,5,0,3,347
427,25950,66,27,1,0,2,271
428,20993,133,35,90,0,1,638
429,65726,177,35,90,0,7,849
430,37657,63,35,59,3,3,639
431,39783,72,28,43,0,1,345
432,58842,110,6,74,0,1,528
433,25629,124,3,70,2,6,595
434,48567,130,12,15,0,1,624
435,37657,196,0,73,2,1,1337
436,33746,74,1,6,1,1,355
437,22254,79,22,75,0,2,125
438,65974,113,3,43,0,3,235
439,37657,76,18,63,0,3,395
440,17161,113,1,22,1,1,542
441,37657,74,1,62,0,7,772
442,37657,132,9,85,0,6,633
443,37657,73,9,14,0,2,350
444,67752,131,4,40,4,9,168
445,25398,64,30,80,0,6,307
446,37657,88,30,19,0,4,633
447,33321,105,6,2,0,3,504
448,37657,78,13,32,0,1,845
449,68798,114,19,69,0,1,92
450,20325,100,4,6,0,1,668
451,13129,117,15,93,0,6,700
452,37657,73,24,57,0,4,525
453,49080,91,14,68,0,1,25
454,42536,63,30,57,0,6,375
455,29926,74,25,34,0,1,418
456,37657,86,5,55,0,1,398
457,21450,138,15,35,0,4,938
458,33345,65,32,52,0,2,338
459,15752,90,27,37,0,2,339
460,40169,65,1,47,1,3,302
461,26049,113,10,15,1,9,619
462,37657,68,3,4,0,1,326
463,55411,100,24,53,0,4,259
464,12459,70,4,41,0,1,336
465,64620,76,24,32,1,2,364
466,83140,61,25,70,0,1,179
467,37657,92,20,50,0,1,662
468,54422,68,9,8,0,5,75
469,68309,131,4,67,0,9,306
470,56621,65,27,36,2,1,84
471,38977,70,27,22,0,1,139
472,37657,111,32,13,0,3,607
473,37657,114,12,43,0,1,631
474,37657,83,35,87,0,8,628
475,83235,70,16,33,0,2,336
476,37657,74,7,93,0,2,426
477,32390,80,20,36,0,8,91
478,66538,95,14,64,0,2,317
479,37657,64,12,24,0,1,460
480,76358,66,25,3,0,2,86
481,43860,65,15,58,0,1,156
482,55350,67,0,13,0,9,321
483,12964,65,2,37,0,4,362
484,33288,86,1,27,2,9,221
485,37657,84,31,25,0,3,980
486,56168,88,13,20,0,1,614
487,37657,92,3,28,0,4,662
488,23105,69,15,21,0,3,331
489,36218,68,6,83,0,1,145
490,52275,62,6,88,0,5,374
491,49665,74,5,51,0,2,355
492,32471,110,0,87,0,1,528
493,37657,86,12,89,1,2,619
494,62773,73,19,57,0,9,80
495,76694,117,34,23,0,1,561
496,55687,276,33,91,0,1,1324
497,37657,70,20,81,0,1,504
498,36633,96,20,61,1,1,460
499,77060,106,23,90,0,2,468
500,92600,94,9,48,0,1,842
501,37657,66,2,75,0,2,475
502,37657,111,6,24,2,1,1171
503,64801,64,23,19,0,2,268
504,45257,103,33,90,0,4,494
505,26854,66,31,70,0,1,475
506,85840,102,14,79,2,4,138
507,26463,72,28,93,0,2,345
508,30689,81,23,51,0,5,467
509,29590,66,17,18,0,1,467
510,25965,253,15,59,0,1,1214
511,17269,139,3,31,0,5,667
512,90330,137,0,86,3,2,192
513,37657,113,34,5,0,8,619
514,37657,110,20,66,0,7,1002
515,37657,67,2,49,1,3,321
516,18558,80,17,23,0,1,384
517,46384,113,33,93,0,1,251
518,37657,72,1,77,0,2,866
519,42303,180,24,66,0,1,1210
520,71731,130,12,50,0,2,599
521,51066,74,23,0,0,8,787
522,37657,203,20,66,0,2,2027
523,37657,86,19,93,3,5,619
524,37657,69,16,45,0,6,72
525,26173,68,2,10,1,9,449
526,24445,63,18,15,0,2,302
527,72302,66,6,27,0,1,316
528,27208,102,10,65,0,1,489
529,36650,69,2,70,1,1,56
530,30855,68,7,15,0,7,259
531,37657,95,13,20,0,5,456
532,99960,76,19,83,0,4,364
533,37657,98,1,15,0,2,470
534,55873,88,30,19,0,6,299
535,18052,111,5,71,0,1,699
536,28937,104,28,23,2,6,117
537,37657,86,34,80,0,5,545
538,37657,73,9,94,0,2,350
539,12829,118,33,1,0,9,328
540,92163,73,3,79,0,6,66
541,17588,192,24,92,0,2,1382
542,82302,106,11,92,0,1,722
543,37657,127,19,40,0,2,609
544,70340,113,5,56,0,1,542
545,37657,74,35,59,0,1,532
546,50825,102,3,46,0,3,369
547,93459,99,9,85,0,5,655
548,86148,65,19,51,2,4,312
549,27048,72,5,85,0,4,345
550,73259,115,7,31,0,4,673
551,35482,129,21,59,0,3,619
552,29462,107,28,23,1,1,513
553,67801,115,12,45,1,1,23
554,37657,94,34,59,4,1,451
555,16042,73,33,58,0,9,350
556,28056,64,32,41,1,8,307
557,16495,85,25,75,3,1,408
558,41163,108,11,66,0,3,231
559,37657,161,3,71,1,9,772
560,33799,109,28,52,3,2,664
561,37657,61,17,71,3,2,292
562,87747,147,3,87,1,1,46
563,35695,90,2,7,0,1,432
564,90985,87,33,39,0,1,78
565,37657,101,19,16,0,1,564
566,66839,154,33,24,0,1,739
567,37657,165,16,43,0,3,792
568,79090,107,2,74,0,3,289
569,24825,64,34,44,0,1,155
570,26806,63,32,19,0,2,302
571,56835,67,25,16,0,3,326
572,37657,88,12,54,0,6,653
573,46135,69,12,68,0,1,103
574,37657,73,21,87,0,4,809
575,22862,67,9,40,0,2,321
576,21450,110,8,80,2,3,528
577,95854,65,16,78,0,1,312
578,44897,99,22,46,1,7,580
579,54040,103,14,88,0,4,59
580,53265,62,12,27,0,3,238
581,37657,198,18,55,1,1,1577
582,43817,62,25,12,1,2,245
583,54780,88,22,72,3,5,135
584,37657,119,9,8,0,3,571
585,67798,69,1,78,0,9,331
586,21442,118,32,84,0,3,566
587,27615,62,19,18,1,1,297
588,17622,65,1,36,1,3,312
589,50200,135,23,98,0,1,637
590,37657,112,3,51,2,1,537
591,37657,96,31,34,0,1,460
592,73570,70,0,46,1,1,75
593,37657,111,4,85,0,1,799
594,37657,106,11,15,0,6,603
595,36631,62,30,77,0,1,67
596,35895,73,11,51,0,1,312
597,40864,109,16,70,1,1,166
598,37657,118,15,77,0,4,566
599,93018,63,5,90,0,3,135
600,70014,62,6,4,0,2,17
601,48875,61,20,9,0,1,1
602,67969,74,11,14,0,2,197
603,37657,108,8,55,0,2,612
604,68665,69,33,67,0,7,331
605,26802,66,7,43,1,5,316
606,37657,110,6,37,0,6,1193
607,45345,125,0,73,0,2,600
608,17101,113,1,88,0,2,542
609,32051,193,4,40,1,1,926
610,81139,74,22,69,0,3,392
611,63834,100,23,19,1,3,215
612,37548,81,12,9,0,3,160
613,37657,69,28,28,3,2,371
614,72421,65,8,23,0,1,312
615,83102,116,15,35,0,1,443
616,28432,118,1,59,0,2,612
617,83707,108,2,72,0,7,290
618,63259,65,25,14,0,7,316
619,37657,67,18,73,0,8,405
620,63860,62,26,81,0,1,208
621,67176,72,20,90,0,9,345
622,86132,68,30,10,0,3,301
623,28519,66,1,56,0,1,456
624,39102,88,11,98,0,2,152
625,37657,89,17,56,0,1,491
626,97298,128,16,38,0,2,48
627,41986,84,25,31,2,5,430
628,37657,88,6,47,0,2,633
629,17291,73,3,25,0,5,350
630,37657,74,0,52,0,2,246
631,37256,62,15,7,0,2,128
632,96306,95,12,17,1,6,185
633,14290,271,20,40,0,1,1300
634,37038,71,6,97,1,1,9
635,90760,103,5,7,2,1,133
636,20668,188,34,54,3,2,902
637,54480,67,19,91,0,1,321
638,16244,68,4,85,0,1,623
639,22436,89,24,21,0,3,427
640,25544,68,18,30,0,1,326
641,28728,67,8,10,0,1,321
642,57449,103,6,28,0,2,494
643,83318,73,21,42,0,1,211
644,55561,63,2,79,0,2,227
645,37657,102,18,32,5,1,862
646,55308,107,17,74,0,6,513
647,36068,97,0,10,0,2,113
648,48804,112,1,4,1,2,537
649,37657,131,6,52,0,6,943
650,55790,111,4,40,0,9,117
651,70258,69,20,65,0,2,225
652,37657,95,13,20,0,5,456
653,47274,83,32,26,1,5,182
654,37657,78,27,10,0,8,644
655,37657,73,26,84,0,3,525
656,15818,107,24,99,0,2,333
657,44552,137,7,42,0,3,311
658,64348,86,25,18,0,1,212
659,37657,62,27,53,0,2,297
660,88997,72,9,71,0,3,174
661,77411,67,30,63,0,1,257
662,10312,78,10,63,0,1,486
663,37657,72,4,11,1,7,345
664,96263,103,5,5,0,1,1
665,28919,72,18,11,0,1,518
666,37657,68,2,28,1,4,326
667,41869,64,5,52,0,6,262
668,37657,128,5,76,0,8,921
669,32808,68,1,88,1,1,541
670,79780,68,11,58,0,2,326
671,91025,112,26,37,0,9,327
672,33043,95,15,90,0,1,456
673,69442,118,26,6,3,3,1265
674,37657,70,18,47,0,1,63
675,37657,70,25,48,0,9,336
676,47234,65,11,34,0,1,15
677,86863,92,27,26,0,3,441
678,25805,66,25,0,2,2,375
679,43676,76,19,7,0,3,364
680,59855,74,30,82,4,1,355
681,35296,126,19,11,0,2,452
682,36576,125,11,73,1,3,113
683,28513,100,4,22,1,2,480
684,85448,72,16,76,0,3,16
685,23791,110,11,71,3,7,615
686,20597,112,31,46,0,1,615
687,56940,87,11,10,0,9,512
688,93210,71,35,62,0,2,74
689,48992,94,30,0,1,7,426
690,53736,71,2,20,0,2,169
691,25378,66,22,32,1,2,419
692,76731,64,2,68,0,1,201
693,37657,64,11,85,0,1,662
694,69379,103,14,79,0,1,494
695,57449,103,6,28,0,2,494
696,37657,68,7,31,0,7,326
697,37657,93,30,70,0,6,669
698,33806,89,32,59,0,2,395
699,77048,103,20,41,0,1,141
700,74965,90,20,93,0,2,58
701,34095,63,5,99,0,2,302
702,37657,66,16,35,4,1,316
703,96045,61,24,35,0,1,8
704,86355,118,27,86,0,2,285
705,27824,118,32,9,0,8,566
706,42995,101,10,22,0,2,410
707,21235,79,18,56,0,1,244
708,74585,106,1,49,0,1,218
709,41833,103,28,43,0,1,643
710,23908,70,18,57,0,4,336
711,37657,65,9,31,0,2,312
712,61953,113,5,63,0,1,497
713,37657,142,5,87,0,1,1022
714,37657,137,25,45,0,1,657
715,73760,107,16,3,1,2,230
716,23333,74,8,43,0,1,5
717,37657,61,6,30,0,1,292
718,20440,128,11,54,2,9,614
719,86073,136,3,32,0,1,333
720,50943,139,18,14,0,1,667
721,19003,71,29,21,0,1,34
722,46703,108,0,48,0,6,678
723,14072,71,13,3,0,2,511
724,21733,73,17,37,0,2,525
725,20811,61,33,61,0,1,292
726,11904,61,34,11,2,3,292
727,43490,114,24,63,4,6,174
728,57340,67,7,19,0,2,159
729,49088,97,4,46,0,3,698
730,47761,131,2,54,0,6,232
731,70930,99,2,21,0,2,190
732,61281,110,7,16,0,7,79
733,37657,82,4,77,1,3,393
734,25290,66,0,4,0,2,382
735,24239,88,25,5,0,8,48
736,82664,114,24,10,3,9,133
737,83210,110,0,25,0,3,528
738,38736,81,7,35,0,2,561
739,37657,66,0,10,0,9,316
740,55437,64,5,78,1,2,445
741,37657,130,0,93,0,1,23
742,37657,71,33,83,0,3,407
743,29066,100,13,51,0,3,844
744,54337,72,27,7,0,1,345
745,67616,96,25,17,0,2,340
746,41082,63,23,94,0,2,106
747,37657,73,12,71,0,4,626
748,36650,69,2,70,1,1,56
749,50631,112,19,12,4,2,784
750,19592,92,31,63,0,2,441
751,37657,114,30,1,0,2,547
752,55761,115,22,73,0,2,86
753,17576,71,29,70,0,1,398
754,41449,89,15,45,0,5,63
755,14290,271,20,40,0,1,1300
756,62007,73,4,7,0,3,120
757,21921,206,14,44,0,3,1254
758,42621,66,8,3,0,3,316
759,37657,87,16,41,1,2,417
760,63786,196,30,81,0,1,798
761,37657,104,1,48,3,7,82
762,82877,99,8,89,1,3,22
763,37657,63,0,75,0,1,302
764,10475,88,13,81,1,2,422
765,21952,66,20,31,0,6,316
766,49721,132,18,49,0,2,639
767,88340,102,16,1,0,2,489
768,37657,65,7,28,0,1,312
769,37657,65,14,62,0,2,468
770,24589,82,33,39,0,2,511
771,69379,103,14,79,0,1,494
772,73769,61,24,95,2,3,239
773,66670,114,23,6,0,1,518
774,88854,118,6,50,0,2,715
775,31266,193,6,79,0,1,926
776,43860,65,15,58,0,1,156
777,89284,133,4,62,2,1,402
778,67267,89,31,10,0,2,94
779,79270,95,28,61,3,2,456
780,36692,109,1,6,1,1,523
781,37657,119,0,37,0,1,571
782,37657,107,3,65,0,3,513
783,37657,105,3,92,0,1,504
784,37657,135,8,14,0,1,972
785,44624,71,10,79,1,2,73
786,37657,71,1,23,0,2,340
787,19614,85,21,32,0,2,574
788,37657,64,31,53,0,1,632
789,83846,74,22,94,3,2,355
790,51159,72,4,61,0,1,4
791,83772,62,13,76,0,1,42
792,66839,154,33,24,0,1,739
793,88440,70,19,30,0,2,27
794,25666,63,7,30,2,2,270
795,52926,61,2,92,0,1,292
796,37657,67,16,90,0,1,494
797,40001,70,26,7,0,2,142
798,37657,70,24,10,0,1,425
799,18024,65,13,1,0,3,312
800,37657,68,19,2,3,2,326
801,23220,74,3,73,0,1,251
802,64125,108,3,44,0,3,369
803,58042,62,14,88,0,2,161
804,90034,112,5,86,0,1,537
805,27972,61,7,38,0,1,292
806,37657,65,6,45,0,2,312
807,50989,80,3,11,0,1,255
808,11885,101,18,39,0,2,484
809,89451,63,11,2,0,1,61
810,37657,182,3,56,0,2,1310
811,78904,109,10,38,0,9,250
812,70247,83,13,19,1,1,141
813,32653,67,4,25,0,9,321
814,93595,97,15,30,4,1,49
